ibo,ideal,rmse_jit_0,rmse_jit_1,rmse_jit_2,rmse_jit_3,rmse_jit_4
30.0,1.7379768495337193,699.468958551189,717.2841966909988,715.7551534941488,712.9683298784887,723.7830097110032
27.5,1.7379768495337193,652.644143662652,646.0626122746639,641.4320816626634,667.3913985432404,698.1354992229753
25.0,1.7379768495337193,598.6920303785952,572.7471398759211,572.6907503896573,606.2565666318325,673.8965031920583
22.5,1.7379768495337193,449.8334103847387,459.2444517746264,462.3565124692987,540.4220484900351,655.7482473556033
20.0,1.7379768495337193,292.0423785359668,285.90403050544467,312.6367170526848,503.8927790139459,660.4817546518073
17.5,1.7379768495337193,75.80505792432301,123.6549638194868,194.0850119445923,328.87352176475326,634.6956526114488
15.0,1.7379768495337193,43.242320332767775,43.4747588406426,73.46687333019914,255.37653044657588,642.1328606287068
12.5,1.7379768495337193,4.742803954295036,42.760425895775235,42.769269356279864,279.1357607913777,643.1705558930104
10.0,1.7379768495337193,3.6852358209620366,4.358301950910805,4.755753431068809,240.0338385975685,637.7785003275187
7.5,1.7379768495337193,3.221830511621099,3.913503922419764,4.305233524971947,197.09008924973043,639.9939034021024
5.0,1.7379768495337193,3.246286288756798,3.9453133910224842,4.342836800150194,216.74676094238458,625.3402319931893
2.5,1.7379768495337193,4.804632285637608,42.71032775748852,42.682088427915836,296.78211333323645,637.188668099953
0.0,1.7379768495337193,767.2920206357185,772.7809167816272,782.1510260252344,805.9593531299133,783.990248129547
