ibo,cap,rmse
20.0,13.769325351828524,526.0109314453456
18.571428571428573,13.640036053278276,515.4488335421859
17.142857142857142,13.383161464638254,490.34426681669277
15.714285714285715,13.035765065572615,427.4926899959811
14.285714285714285,12.631789558327124,363.318042491699
12.857142857142858,12.195241674067297,363.23201951369873
11.428571428571429,11.740840909172977,212.27929715353778
10.0,11.27693324481164,135.32368602724358
8.571428571428571,10.808060738202547,15.811388300841896
7.142857142857142,10.336649650930376,15.811388300841896
5.7142857142857135,9.863993983742583,15.811388300841896
4.285714285714285,9.390797881780756,15.811388300841896
2.8571428571428577,8.917468257199108,213.01408404140793
1.428571428571427,8.444273065465886,428.5877973064562
0.0,7.971429957804046,617.9603547154138
